case_id,system,status,hamiltonian_path,integral_data_path,metadata_path,hamiltonian_sha256,integral_sha256,point_count,qubits,active_electrons,active_spatial_orbitals,charge,spin,basis,reference_energy_hartree,reference_converged,source_case_id
c2_augccpvtz_cas8e8o_casci_natural_orbitals_r2p2000,BenchmarkQC,current,systems/c2_augccpvtz_cas8e8o_casci_natural_orbitals_r2p2000/hamiltonian.npz,systems/c2_augccpvtz_cas8e8o_casci_natural_orbitals_r2p2000/inputs/source_integrals.npz,systems/c2_augccpvtz_cas8e8o_casci_natural_orbitals_r2p2000/metadata.json,7ccba91d91a2de6263fb7ec72175d430729fc3dfaadb9850825df8e1dab8c2b5,2fe9cecb00ec844a7479e78bb3c81b59686f700777ecc0c54f4c4e641c1bc10a,1,16,8,8,,0,aug-cc-pVTZ,-75.41966083838146,,
c2_cas8e8o_augccpvtz_equilibrium_r1p2430,BenchmarkQC,reconstructed-si,systems/c2_cas8e8o_augccpvtz_equilibrium_r1p2430/hamiltonian.npz,systems/c2_cas8e8o_augccpvtz_equilibrium_r1p2430/inputs/source_integrals.npz,systems/c2_cas8e8o_augccpvtz_equilibrium_r1p2430/metadata.json,a98c909dd47a7ccc46ddbd186784813c336c55ac1d2a9f17b7eed70e1ca4ab6d,5b17d33a55b9a0d1b388d08df4f6338fe8e6d5d4703022e7060dcff1a494c6a8,1,16,8,8,,0,aug-cc-pVTZ; nonrelativistic,-75.62029347253048,,
c2h4_cas2e2o_augccpvdz_planar_0deg,BenchmarkQC,reconstructed-si,systems/c2h4_cas2e2o_augccpvdz_planar_0deg/hamiltonian.npz,systems/c2h4_cas2e2o_augccpvdz_planar_0deg/inputs/source_integrals.npz,systems/c2h4_cas2e2o_augccpvdz_planar_0deg/metadata.json,9f0536f350c9acd358af1da0f5f911fa6b05b3f7e6f059661a31648e34a7f0f3,8ceccc502f7de9f59017fc88c101eda2cf468f5ad4d66ee89c6b809a82d07e86,1,4,2,2,,0,aug-cc-pVDZ; nonrelativistic,-78.0691581246013,,
c2h4_cas2e2o_augccpvdz_twisted_90deg,BenchmarkQC,reconstructed-si,systems/c2h4_cas2e2o_augccpvdz_twisted_90deg/hamiltonian.npz,systems/c2h4_cas2e2o_augccpvdz_twisted_90deg/inputs/source_integrals.npz,systems/c2h4_cas2e2o_augccpvdz_twisted_90deg/metadata.json,5e5816868d8d354631c6166e1b21f6feaf1904ea9e475d07858ffd81f9a80bf8,9d13db0127ebfa6e67f061743b8062d5f56ca267291c71e4dd23545313a5fe85,1,4,2,2,,0,aug-cc-pVDZ; nonrelativistic,-77.95435497575266,,
ch2_cas6e6o_augccpvtz_bent_102deg,BenchmarkQC,reconstructed-si,systems/ch2_cas6e6o_augccpvtz_bent_102deg/hamiltonian.npz,systems/ch2_cas6e6o_augccpvtz_bent_102deg/inputs/source_integrals.npz,systems/ch2_cas6e6o_augccpvtz_bent_102deg/metadata.json,49e60c8b52b74fb41a04910ce6c1317685d087ee0c5058310a2f874e49c0b245,d89251419b0ef468b6e6b004cebb43affa17f5298f30dd312397a306ac7694ab,1,12,6,6,,0,aug-cc-pVTZ; nonrelativistic,-38.92873176648936,,
ch2_cas6e6o_augccpvtz_open_140deg,BenchmarkQC,reconstructed-si,systems/ch2_cas6e6o_augccpvtz_open_140deg/hamiltonian.npz,systems/ch2_cas6e6o_augccpvtz_open_140deg/inputs/source_integrals.npz,systems/ch2_cas6e6o_augccpvtz_open_140deg/metadata.json,eefe7e2320e59cc377347f64906b1acc21a2e53e21d60ce2a0163800e37215ec,898e43c2c128c48f5beb82044eb1d29850519e1fe5de05ee16516bc2b7c4467b,1,12,6,6,,0,aug-cc-pVTZ; nonrelativistic,-38.90416513357388,,
fe2s2_cas10e10o_anorccvdz_mb_bridge_stretched_1p10,BenchmarkQC,reconstructed-si,systems/fe2s2_cas10e10o_anorccvdz_mb_bridge_stretched_1p10/hamiltonian.npz,systems/fe2s2_cas10e10o_anorccvdz_mb_bridge_stretched_1p10/inputs/source_integrals.npz,systems/fe2s2_cas10e10o_anorccvdz_mb_bridge_stretched_1p10/metadata.json,af88cb7e2a41d74b2fb809f2e71a17876f7ceec8af758bb3a8e7c57ee9e81aa2,0f89c163c5a2450d1189aec40bbfbd7ceb434ba91371f108f9072b444c56d78d,1,20,10,10,,0,"Fe ANO-RCC-VDZ; S,C,H ANO-RCC-MB; nonrelativistic",-5058.113901629829,,
fe2s2_cas10e10o_anorccvdz_mb_published_geometry,BenchmarkQC,reconstructed-si,systems/fe2s2_cas10e10o_anorccvdz_mb_published_geometry/hamiltonian.npz,systems/fe2s2_cas10e10o_anorccvdz_mb_published_geometry/inputs/source_integrals.npz,systems/fe2s2_cas10e10o_anorccvdz_mb_published_geometry/metadata.json,b1ff6c37037ec261c75316f1517ba90c6eb0dbe736985f2e796b61b9011d54fb,ef22e995fcc2215e1710348014a4827668c8ff880ce62018a1ef3fdc216b72e8,1,20,10,10,,0,"Fe ANO-RCC-VDZ; S,C,H ANO-RCC-MB; nonrelativistic",-5058.275918325761,,
fe2s2_chan30e20o_historical_rhf_cas4e4o_point0,BenchmarkQC,current,systems/fe2s2_chan30e20o_historical_rhf_cas4e4o_point0/hamiltonian.npz,systems/fe2s2_chan30e20o_historical_rhf_cas4e4o_point0/inputs/source_integrals.npz,systems/fe2s2_chan30e20o_historical_rhf_cas4e4o_point0/metadata.json,b169a848b609c42307742582738f240ae18c822579328642946ad02979a5133f,5b263fd2bb30f8540fd21a8bce49d02c35ebad831b31e068b9e304aa1db6b4fa,1,8,4,4,,0,inherited from checksum-pinned Li-Chan FCIDUMP; AO basis not encoded,-116.15474998779426,,
fe2s2_chan30e20o_historical_rhf_cas6e6o_point0,BenchmarkQC,current,systems/fe2s2_chan30e20o_historical_rhf_cas6e6o_point0/hamiltonian.npz,systems/fe2s2_chan30e20o_historical_rhf_cas6e6o_point0/inputs/source_integrals.npz,systems/fe2s2_chan30e20o_historical_rhf_cas6e6o_point0/metadata.json,fa8402859248c598998bee8fbfcba70fa5fb05b45eebc15b3decdbeca9eaf056,9ae76b6745e91cf6d1c68ee1572fbd47674936dd674892fa5fff3cd73bc22205,1,12,6,6,,0,inherited from checksum-pinned Li-Chan FCIDUMP; AO basis not encoded,-116.15625982795386,,
