case_id,hamiltonian_path,hamiltonian_sha256,integrals_path,integrals_sha256,metadata_path,source_json_path,source_cache_path,source_cache_sha256,symbols,basis,charge,spin,active_electrons,active_orbitals,qubits,source_casscf_energy_hartree,source_cache_reference_energy_hartree,reference_converged,active_orbital_indices,active_orbital_selection_method
BeH2_equi_cc_pVTZ_2,systems/BeH2_equi_cc_pVTZ_2/hamiltonian.npz,46242e1b8f593630ff33db7803f0ac2c936188adbd64be7dc1034f24ae1ac969,systems/BeH2_equi_cc_pVTZ_2/inputs/source_integrals.npz,4230cec68658d7bbe97987ea18bbd6637fa7635807a6eb94f6f726d4d0e93bc1,systems/BeH2_equi_cc_pVTZ_2/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/BeH2 equi._cc-pVTZ_2.json,hamiltonian_cache/casscf_natorb/6bcffedad55754936cf6fa342b5c68576372dd4f6a7c673828b11fbff0563644.npz,abe766306735a5f36b88c1c3e3c55797c04d97be3ea245e60c0c300762ad28f7,"[""Be"",""H"",""H""]",cc-pVTZ,0,2,4,6,12,-15.577504296993196,-15.577504296997867,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
H4_near_equi_sto3g_0,systems/H4_near_equi_sto3g_0/hamiltonian.npz,ee05ca628fe8ab0f53db94725b1b7e46209cd8209ff647beba98300ab28f3ee6,systems/H4_near_equi_sto3g_0/inputs/source_integrals.npz,cf8230302e098c316c237fbc4d327764f882a206992a251b8d13219ba6a41f24,systems/H4_near_equi_sto3g_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H4 near equi._sto3g_0.json,hamiltonian_cache/casscf_natorb/0e14a674e16c2908807717a6c88160dec55c93fba0308e95744ffc38e6d64d4c.npz,c1538fef702aed0ace384d42ab29af0e7f7384a9c69a37d6cda6c7c0cbc7a52f,"[""H"",""H"",""H"",""H""]",sto-3g,0,0,4,4,8,-2.1663874486347625,-2.1663874486420642,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
magnesium_porphyrin_ceo,systems/magnesium_porphyrin_ceo/hamiltonian.npz,b5a7e82507c3717f50fd891629aabef41afb40f50a7b4db1ca8226f9848cf87f,systems/magnesium_porphyrin_ceo/inputs/source_integrals.npz,073f05c8eb1298ddf7e3b17601e2479dba90d9332b6ffed5fb36e82c05d74a97,systems/magnesium_porphyrin_ceo/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/magnesium_porphyrin_ceo.json,hamiltonian_cache/casscf_natorb/5a9d4a1cfa008287f091411aa4849dda05a460d88766d53daf6021eb1d070041.npz,e31aa9a8bfbfe42dd2346b1c616eba7bcb1d491608e537e470d14fe09755499b,"[""Mg"",""N"",""N"",""N"",""N"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]",def2-TZVP,0,0,4,4,8,-1182.2389641302318,-1182.2389641303378,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
cyclobutadiene_ceo,systems/cyclobutadiene_ceo/hamiltonian.npz,a49e064674a8968f6075c1127bc25199dc34b1d75d6fb2f391d2cfe299b04438,systems/cyclobutadiene_ceo/inputs/source_integrals.npz,6555db67448a2033ae48eadc22b9c91b8f21bba0e6ecf2e7a94a3b58bec53d78,systems/cyclobutadiene_ceo/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/cyclobutadiene_ceo.json,hamiltonian_cache/casscf_natorb_corrected_active_space_dt0p05/ae485c01a500fed77cbfd2ceafbd62994bcd63222507ad81e2550ff98699f5da.npz,31faab046ade8af89770854364c30fd9df3f2c2d2c2fd4df0bbb5587b3b468f4,"[""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H""]",cc-pvdz,0,0,4,4,8,-153.72228958240802,-153.72228958245736,True,"[11,13,14,19]",pyscf_canonical_rohf_mo_indices
CH2O_equi_cc_pVTZ_2,systems/CH2O_equi_cc_pVTZ_2/hamiltonian.npz,da8fcc4bd38c3458a69e8979c1736b896828f02a58b0dfdc0003f8d5419b149c,systems/CH2O_equi_cc_pVTZ_2/inputs/source_integrals.npz,2369d0aec7abc105a13aa0a53e03e19a4a89d92a309f157d47076602942ef2c1,systems/CH2O_equi_cc_pVTZ_2/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/CH2O equi._cc-pVTZ_2.json,hamiltonian_cache/casscf_natorb/23426eefcbbbe10b66c8e6417905437684610fee641f9812fff28f59cf10a00e.npz,c6821234d6286a9b3b829dfcf857b2d47eb6e1783e3172b00666b1fc627d742f,"[""C"",""O"",""H"",""H""]",cc-pVTZ,0,2,6,6,12,-113.8291472051797,-113.82914720544098,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
BeH2_equi_cc_pVTZ_0,systems/BeH2_equi_cc_pVTZ_0/hamiltonian.npz,41bc26a04a005d279525446f208c7b24f562c7e8b963e10c7b53f13871731508,systems/BeH2_equi_cc_pVTZ_0/inputs/source_integrals.npz,7dd50612f33763fdba6208da4ee88702416fdf54ce302253a8761dac8d0474ab,systems/BeH2_equi_cc_pVTZ_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/BeH2 equi._cc-pVTZ_0.json,hamiltonian_cache/casscf_natorb/e3e0bf93f4fe7154aa460e5a8e6779a390a3c4673de1e5db48743ce98f1283f8.npz,0a2127441b655207ab95136f2f6a1064418b282e888b40928970904a3693020e,"[""Be"",""H"",""H""]",cc-pVTZ,0,0,4,6,12,-15.803244181133712,-15.803244181147063,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
N2_equi_cc_pVTZ_2,systems/N2_equi_cc_pVTZ_2/hamiltonian.npz,0aca491764cc08c4d916e4f6e6ff8c718c05a1965394a59f46e84a2d6e172ae6,systems/N2_equi_cc_pVTZ_2/inputs/source_integrals.npz,a27c48509483b3181f75b6465323092c5b79f9d9f989c89f80bb050c8b2b293c,systems/N2_equi_cc_pVTZ_2/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/N2 equi._cc-pVTZ_2.json,hamiltonian_cache/casscf_natorb/714f53e508f35490aeff6ceeae04ee73e476bfcbf6363801f21319a8d13ded08.npz,be5c8eb1556f4d40f75de62971aa1da614b3d8e985fe83fdf68fa24c2847567c,"[""N"",""N""]",cc-pVTZ,0,2,6,6,12,-108.87152580010415,-108.87152580012282,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
CO_equi_cc_pVTZ_2,systems/CO_equi_cc_pVTZ_2/hamiltonian.npz,e7f1ad097e174663e293f1045c6f30a8d303ad2291a6bfa1412b26ce80cca64d,systems/CO_equi_cc_pVTZ_2/inputs/source_integrals.npz,196dbbbaea29c507cc87c4761dd0798ea54e6195286e8dc48065d068b1a35ee4,systems/CO_equi_cc_pVTZ_2/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/CO equi._cc-pVTZ_2.json,hamiltonian_cache/casscf_natorb/21f38681ebfab2f9340a3a4893b46d76362cb576d6427ed10be9fc76fc9c5956.npz,6dbd1158e5030cd2c950db9fe1e76e2bf864954558505ebb5ad3ce38b63225d9,"[""C"",""O""]",cc-pVTZ,0,2,6,6,12,-112.60166830789687,-112.65639016965865,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
H5_near_equi_sto3g_1,systems/H5_near_equi_sto3g_1/hamiltonian.npz,bd0875bb4ccc6654114c43063da0ba634b7ba00ceb204515791dbc8dd68c5207,systems/H5_near_equi_sto3g_1/inputs/source_integrals.npz,00d6e9ed09a0d458fadf487a55d27fed380835522520ec30b5c38951ee1441cc,systems/H5_near_equi_sto3g_1/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H5 near equi._sto3g_1.json,hamiltonian_cache/casscf_natorb/c508cd3bc1189229881e58a0b84d52a5320a7210318d33be2de6f89d67c8108a.npz,4eb768aa5167a4b724c4aae2c127496a9d0a5dfe9dbda034cc8a1a2cb3a52d67,"[""H"",""H"",""H"",""H"",""H""]",sto-3g,0,1,5,5,10,-2.6545169682127527,-2.654516968217046,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
CH2O_equi_cc_pVTZ_0,systems/CH2O_equi_cc_pVTZ_0/hamiltonian.npz,7b60061e53f04ba08b037cf8204aefd6e0dfa5836a887e9e2f5a19f84e52feed,systems/CH2O_equi_cc_pVTZ_0/inputs/source_integrals.npz,62849100ecc631c46fe31d4c43cbfa8aa007650500eb653021bd8f571ca96804,systems/CH2O_equi_cc_pVTZ_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/CH2O equi._cc-pVTZ_0.json,hamiltonian_cache/casscf_natorb/f4b453c4c05b2f008c3bceb4e2b77bd3b7878e3b91b57cfd276dc6009aee79bd.npz,fd5b18ea4a53ba463bbac7311525eecbf7c5c32980e5c05e40ea4f7b768e8fe1,"[""C"",""O"",""H"",""H""]",cc-pVTZ,0,0,6,6,12,-114.02162279867512,-114.02162279867837,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
