case_id,system,status,hamiltonian_path,integral_data_path,metadata_path,hamiltonian_sha256,integral_sha256,point_count,qubits,active_electrons,active_spatial_orbitals,charge,spin,basis,reference_energy_hartree,reference_converged,source_case_id
Al3_minus,MolVQE21,current-molvqe21-corrected,systems/Al3_minus/hamiltonian.npz,systems/Al3_minus/inputs/source_integrals.npz,systems/Al3_minus/metadata.json,285dd8cb56001980cf40069b3475e372f9e1198ab5fe04b6bba515624a5930a5,96e97a242f757cb33831875b37538e572b13c0424652b3a5687bdf9411e4ee3e,1,18,8,9,-1,0,def2-TZVP,-725.7922881364854,True,Al3_minus
BeH2_equi_cc_pVTZ_0,MolVQE21,current-molvqe21-corrected,systems/BeH2_equi_cc_pVTZ_0/hamiltonian.npz,systems/BeH2_equi_cc_pVTZ_0/inputs/source_integrals.npz,systems/BeH2_equi_cc_pVTZ_0/metadata.json,41bc26a04a005d279525446f208c7b24f562c7e8b963e10c7b53f13871731508,7dd50612f33763fdba6208da4ee88702416fdf54ce302253a8761dac8d0474ab,1,12,4,6,0,0,cc-pVTZ,-15.803244181147063,True,BeH2_equi_cc_pVTZ_0
BeH2_equi_cc_pVTZ_2,MolVQE21,current-molvqe21-corrected,systems/BeH2_equi_cc_pVTZ_2/hamiltonian.npz,systems/BeH2_equi_cc_pVTZ_2/inputs/source_integrals.npz,systems/BeH2_equi_cc_pVTZ_2/metadata.json,46242e1b8f593630ff33db7803f0ac2c936188adbd64be7dc1034f24ae1ac969,4230cec68658d7bbe97987ea18bbd6637fa7635807a6eb94f6f726d4d0e93bc1,1,12,4,6,0,2,cc-pVTZ,-15.577504296997867,True,BeH2_equi_cc_pVTZ_2
CH2O_equi_cc_pVTZ_0,MolVQE21,current-molvqe21-corrected,systems/CH2O_equi_cc_pVTZ_0/hamiltonian.npz,systems/CH2O_equi_cc_pVTZ_0/inputs/source_integrals.npz,systems/CH2O_equi_cc_pVTZ_0/metadata.json,7b60061e53f04ba08b037cf8204aefd6e0dfa5836a887e9e2f5a19f84e52feed,62849100ecc631c46fe31d4c43cbfa8aa007650500eb653021bd8f571ca96804,1,12,6,6,0,0,cc-pVTZ,-114.02162279867837,True,CH2O_equi_cc_pVTZ_0
CH2O_equi_cc_pVTZ_2,MolVQE21,current-molvqe21-corrected,systems/CH2O_equi_cc_pVTZ_2/hamiltonian.npz,systems/CH2O_equi_cc_pVTZ_2/inputs/source_integrals.npz,systems/CH2O_equi_cc_pVTZ_2/metadata.json,da8fcc4bd38c3458a69e8979c1736b896828f02a58b0dfdc0003f8d5419b149c,2369d0aec7abc105a13aa0a53e03e19a4a89d92a309f157d47076602942ef2c1,1,12,6,6,0,2,cc-pVTZ,-113.82914720544098,True,CH2O_equi_cc_pVTZ_2
CO_equi_cc_pVTZ_0,MolVQE21,current-molvqe21-corrected,systems/CO_equi_cc_pVTZ_0/hamiltonian.npz,systems/CO_equi_cc_pVTZ_0/inputs/source_integrals.npz,systems/CO_equi_cc_pVTZ_0/metadata.json,52670fbca9c30fbaf2705d68f08ea55e5769e5dc71a3880603a34b76b2c5a924,deb4f12b776e7633cb7745066a98601ae3be805fdd4e0dda6e7ae5b874781114,1,12,6,6,0,0,cc-pVTZ,-112.89409377343564,True,CO_equi_cc_pVTZ_0
CO_equi_cc_pVTZ_2,MolVQE21,current-molvqe21-corrected,systems/CO_equi_cc_pVTZ_2/hamiltonian.npz,systems/CO_equi_cc_pVTZ_2/inputs/source_integrals.npz,systems/CO_equi_cc_pVTZ_2/metadata.json,e7f1ad097e174663e293f1045c6f30a8d303ad2291a6bfa1412b26ce80cca64d,196dbbbaea29c507cc87c4761dd0798ea54e6195286e8dc48065d068b1a35ee4,1,12,6,6,0,2,cc-pVTZ,-112.65639016965865,True,CO_equi_cc_pVTZ_2
cyclobutadiene_ceo,MolVQE21,current-molvqe21-corrected,systems/cyclobutadiene_ceo/hamiltonian.npz,systems/cyclobutadiene_ceo/inputs/source_integrals.npz,systems/cyclobutadiene_ceo/metadata.json,a49e064674a8968f6075c1127bc25199dc34b1d75d6fb2f391d2cfe299b04438,6555db67448a2033ae48eadc22b9c91b8f21bba0e6ecf2e7a94a3b58bec53d78,1,8,4,4,0,0,cc-pvdz,-153.72228958245736,True,cyclobutadiene_ceo
feno_2plus,MolVQE21,current-molvqe21-corrected,systems/feno_2plus/hamiltonian.npz,systems/feno_2plus/inputs/source_integrals.npz,systems/feno_2plus/metadata.json,a419977ea054e640286a4c63f36bb23580fc29208382d633a6189857603c08aa,2af720afd48fa9b68394619043507edc257dc670bb5f6e3da4cf264bed76f3e0,1,18,11,9,2,3,cc-pvtz,-1398.4787643620946,True,feno_2plus
fenoco3_minus,MolVQE21,current-cache-unconverged-reference,systems/fenoco3_minus/hamiltonian.npz,systems/fenoco3_minus/inputs/source_integrals.npz,systems/fenoco3_minus/metadata.json,542bf40374f81a9b1bc3b798592ce0841723d895ef1953128708746b1bf4c22f,af554b57c8d244d07da5b625560d4cc24c60eb942b550c48f51fee747024a874,1,16,10,8,-1,0,def2-TZVP,-1737.702356361711,False,fenoco3_minus
