case_id,source_name,source_json_path,symbols,geometry_bohr,geometry_angstrom,basis,charge,spin,active_electrons,active_orbitals,casscf_energy_hartree,renyi_alpha,h0.25,chemical_accuracy_hartree,adapt_chem_accuracy_iteration,has_adapt_chem_hit,final_num_iterations,final_reason
H4_near_equi_sto3g_0,H4 near equi._sto3g_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H4 near equi._sto3g_0.json,"[""H"",""H"",""H"",""H""]","[[-2.8345891868475928,0.0,0.0],[-0.9448630622825309,0.0,0.0],[0.9448630622825309,0.0,0.0],[2.8345891868475928,0.0,0.0]]","[[-1.4999999999518117,0.0,0.0],[-0.49999999998393724,0.0,0.0],[0.49999999998393724,0.0,0.0],[1.4999999999518117,0.0,0.0]]",sto-3g,0,0,4,4,-2.1663874486347625,0.25,1.807519407015623,0.0016,3,true,5,target
cyclobutadiene_ceo,cyclobutadiene_ceo.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/cyclobutadiene_ceo.json,"[""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H""]","[[2.935122616674454,0.0,0.0],[0.0,0.0,0.0],[0.0,2.5807989683185046,0.0],[2.935122616674454,2.5807989683185046,0.0],[4.362090718129899,-1.426968101455445,0.0],[-1.426968101455445,-1.426968101455445,0.0],[-1.426968101455445,4.00776706977395,0.0],[4.362090718129899,4.00776706977395,0.0]]","[[1.5531999999501027,0.0,0.0],[0.0,0.0,0.0],[0.0,1.3656999999561261,0.0],[1.5531999999501027,1.3656999999561261,0.0],[2.308318999925844,-0.7551189999757414,0.0],[-0.7551189999757414,-0.7551189999757414,0.0],[-0.7551189999757414,2.1208189999318674,0.0],[2.308318999925844,2.1208189999318674,0.0]]",cc-pvdz,0,0,4,4,-153.72228958240802,0.25,1.934845493351637,0.0016,4,true,3,target
magnesium_porphyrin_ceo,magnesium_porphyrin_ceo.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/magnesium_porphyrin_ceo.json,"[""Mg"",""N"",""N"",""N"",""N"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]","[[0.0,0.0,0.0],[0.0,3.878284925444876,0.0],[3.878284925444876,0.0,0.0],[0.0,-3.878284925444876,0.0],[-3.878284925444876,0.0,0.0],[2.0862576415198286,5.398947537882382,0.0],[5.398947537882382,2.0862576415198286,0.0],[5.398947537882382,-2.0862576415198286,0.0],[2.0862576415198286,-5.398947537882382,0.0],[-2.0862576415198286,-5.398947537882382,0.0],[-5.398947537882382,-2.0862576415198286,0.0],[-5.398947537882382,2.0862576415198286,0.0],[-2.0862576415198286,5.398947537882382,0.0],[4.57313722144745,4.57313722144745,0.0],[4.57313722144745,-4.57313722144745,0.0],[-4.57313722144745,-4.57313722144745,0.0],[-4.57313722144745,4.57313722144745,0.0],[1.2680062295831567,7.997320959159342,0.0],[-1.2680062295831567,7.997320959159342,0.0],[7.997320959159342,1.2680062295831567,0.0],[7.997320959159342,-1.2680062295831567,0.0],[1.2680062295831567,-7.997320959159342,0.0],[-1.2680062295831567,-7.997320959159342,0.0],[-7.997320959159342,-1.2680062295831567,0.0],[-7.997320959159342,1.2680062295831567,0.0],[2.475541223180231,9.64327241365551,0.0],[-2.475541223180231,9.64327241365551,0.0],[9.64327241365551,2.475541223180231,0.0],[9.64327241365551,-2.475541223180231,0.0],[2.475541223180231,-9.64327241365551,0.0],[-2.475541223180231,-9.64327241365551,0.0],[-9.64327241365551,-2.475541223180231,0.0],[-9.64327241365551,2.475541223180231,0.0],[-6.013108528366026,6.013108528366026,0.0],[6.013108528366026,6.013108528366026,0.0],[6.013108528366026,-6.013108528366026,0.0],[-6.013108528366026,-6.013108528366026,0.0]]","[[0.0,0.0,0.0],[0.0,2.0522999999340685,0.0],[2.0522999999340685,0.0,0.0],[0.0,-2.0522999999340685,0.0],[-2.0522999999340685,0.0,0.0],[1.1039999999645336,2.8569999999082176,0.0],[2.8569999999082176,1.1039999999645336,0.0],[2.8569999999082176,-1.1039999999645336,0.0],[1.1039999999645336,-2.8569999999082176,0.0],[-1.1039999999645336,-2.8569999999082176,0.0],[-2.8569999999082176,-1.1039999999645336,0.0],[-2.8569999999082176,1.1039999999645336,0.0],[-1.1039999999645336,2.8569999999082176,0.0],[2.4199999999222563,2.4199999999222563,0.0],[2.4199999999222563,-2.4199999999222563,0.0],[-2.4199999999222563,-2.4199999999222563,0.0],[-2.4199999999222563,2.4199999999222563,0.0],[0.6709999999784438,4.231999999864045,0.0],[-0.6709999999784438,4.231999999864045,0.0],[4.231999999864045,0.6709999999784438,0.0],[4.231999999864045,-0.6709999999784438,0.0],[0.6709999999784438,-4.231999999864045,0.0],[-0.6709999999784438,-4.231999999864045,0.0],[-4.231999999864045,-0.6709999999784438,0.0],[-4.231999999864045,0.6709999999784438,0.0],[1.3099999999579155,5.102999999836063,0.0],[-1.3099999999579155,5.102999999836063,0.0],[5.102999999836063,1.3099999999579155,0.0],[5.102999999836063,-1.3099999999579155,0.0],[1.3099999999579155,-5.102999999836063,0.0],[-1.3099999999579155,-5.102999999836063,0.0],[-5.102999999836063,-1.3099999999579155,0.0],[-5.102999999836063,1.3099999999579155,0.0],[-3.1819999998977764,3.1819999998977764,0.0],[3.1819999998977764,3.1819999998977764,0.0],[3.1819999998977764,-3.1819999998977764,0.0],[-3.1819999998977764,-3.1819999998977764,0.0]]",def2-TZVP,0,0,4,4,-1182.2389641302318,0.25,1.8512057888622708,0.0016,3,true,5,target
H5_near_equi_sto3g_1,H5 near equi._sto3g_1.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H5 near equi._sto3g_1.json,"[""H"",""H"",""H"",""H"",""H""]","[[-3.7794522491301237,0.0,0.0],[-1.8897261245650618,0.0,0.0],[0.0,0.0,0.0],[1.8897261245650618,0.0,0.0],[3.7794522491301237,0.0,0.0]]","[[-1.999999999935749,0.0,0.0],[-0.9999999999678745,0.0,0.0],[0.0,0.0,0.0],[0.9999999999678745,0.0,0.0],[1.999999999935749,0.0,0.0]]",sto-3g,0,1,5,5,-2.6545169682127527,0.25,2.7427255836126165,0.0016,10,true,11,target
N2_equi_cc_pVTZ_2,N2 equi._cc-pVTZ_2.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/N2 equi._cc-pVTZ_2.json,"[""N"",""N""]","[[0.0,0.0,0.0],[0.0,0.0,2.267671349478074]]","[[0.0,0.0,0.0],[0.0,0.0,1.1999999999614492]]",cc-pVTZ,0,2,6,6,-108.87152580010415,0.25,2.4058499185074655,0.0016,8,true,8,target
CO_equi_cc_pVTZ_2,CO equi._cc-pVTZ_2.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/CO equi._cc-pVTZ_2.json,"[""C"",""O""]","[[0.0,0.0,0.0],[0.0,0.0,2.267671349478074]]","[[0.0,0.0,0.0],[0.0,0.0,1.1999999999614492]]",cc-pVTZ,0,2,6,6,-112.60166830789687,0.25,2.568678127993894,0.0016,10,true,10,target
N2_equi_cc_pVTZ_0,N2 equi._cc-pVTZ_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/N2 equi._cc-pVTZ_0.json,"[""N"",""N""]","[[0.0,0.0,0.0],[0.0,0.0,2.267671349478074]]","[[0.0,0.0,0.0],[0.0,0.0,1.1999999999614492]]",cc-pVTZ,0,0,6,6,-109.1001311657515,0.25,3.44406881760021,0.0016,10,true,14,target
CO_equi_cc_pVTZ_0,CO equi._cc-pVTZ_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/CO equi._cc-pVTZ_0.json,"[""C"",""O""]","[[0.0,0.0,0.0],[0.0,0.0,2.267671349478074]]","[[0.0,0.0,0.0],[0.0,0.0,1.1999999999614492]]",cc-pVTZ,0,0,6,6,-112.89409377342591,0.25,3.6487535793870127,0.0016,12,true,21,target
BeH2_equi_cc_pVTZ_2,BeH2 equi._cc-pVTZ_2.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/BeH2 equi._cc-pVTZ_2.json,"[""Be"",""H"",""H""]","[[0.0,0.0,0.0],[0.0,0.0,2.4566439619345806],[0.0,0.0,-2.4566439619345806]]","[[0.0,0.0,0.0],[0.0,0.0,1.299999999958237],[0.0,0.0,-1.299999999958237]]",cc-pVTZ,0,2,4,6,-15.577504296993196,0.25,1.7637455967891338,0.0016,5,true,4,target
BeH2_equi_cc_pVTZ_0,BeH2 equi._cc-pVTZ_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/BeH2 equi._cc-pVTZ_0.json,"[""Be"",""H"",""H""]","[[0.0,0.0,0.0],[0.0,0.0,2.4566439619345806],[0.0,0.0,-2.4566439619345806]]","[[0.0,0.0,0.0],[0.0,0.0,1.299999999958237],[0.0,0.0,-1.299999999958237]]",cc-pVTZ,0,0,4,6,-15.803244181133712,0.25,1.9953821822599993,0.0016,4,true,6,target
